key,en-US,ja-JP,ko-KR,zh-CN,es-ES,de-DE,fr-FR
label_buttons_tab,BUTTONS,ボタン,버튼,按钮,BOTONES,SCHALTFLÄCHEN,BOUTONS
tooltip_buttons_tab,"Configure button components, transitions, and DAButton options.",ボタンコンポーネント、トランジション、DAButton オプションを設定します。,"버튼 컴포넌트, 전환 및 DAButton 옵션을 구성합니다.",配置按钮组件、过渡效果和 DAButton 选项。,"Configura los componentes de botón, las transiciones y las opciones de DAButton.","Konfiguriert Button-Komponenten, Übergänge und DAButton-Optionen.","Configure les composants de bouton, les transitions et les options DAButton."
label_ui_toolkit_tab,UI TOOLKIT,UI ツールキット,UI 도구 키트,UI 工具包,UI TOOLKIT,UI TOOLKIT,UI TOOLKIT
tooltip_ui_toolkit_tab,,,,,,,
label_fcu,Figma Converter for Unity,Figma Converter for Unity,Unity용 Figma 변환기,Figma 转换器（Unity）,Figma Converter para Unity,Figma Converter für Unity,Figma Converter pour Unity
tooltip_fcu,,,,,,,
label_settings,Settings,設定,설정,设置,Ajustes,Einstellungen,Paramètres
tooltip_settings,,,,,,,
label_script_generator,SCRIPT GENERATOR,スクリプトジェネレーター,스크립트 생성기,脚本生成器,GENERADOR DE SCRIPTS,SCRIPT GENERATOR,GÉNÉRATEUR DE SCRIPTS
tooltip_script_generator,,,,,,,
label_scripts_output_path,Scripts output path,スクリプト出力パス,스크립트 출력 경로,脚本输出路径,Ruta de salida de scripts,Ausgabepfad für Scripts,Chemin de sortie des scripts
tooltip_scripts_output_path,Folder where generated scripts are written.,生成されたスクリプトを保存するフォルダーです。,생성된 스크립트가 저장되는 폴더입니다.,用于保存生成脚本的文件夹。,Carpeta donde se guardan los scripts generados.,"Ordner, in dem die generierten Skripte abgelegt werden.",Dossier où sont enregistrés les scripts générés.
label_select_folder,Select Folder,フォルダーを選択,폴더 선택,选择文件夹,Seleccionar carpeta,Ordner auswählen,Sélectionner un dossier
tooltip_select_folder,,,,,,,
label_fcu_is_null,"The script '{0}' is not attached to this object.
If this object is a prefab, to ensure the '{1}' function
works correctly after adding the object to the scene, 
you need to execute function '{2}' from the context menu.

More information about the Context Menu can be found in the Developer Manual.","スクリプト '{0}' がこのオブジェクトにアタッチされていません。
このオブジェクトがプレハブの場合、オブジェクトをシーンに追加した後に '{1}' 関数が正しく動作するようにするには、コンテキストメニューから '{2}' 関数を実行する必要があります。

コンテキストメニューについての詳細は、開発者マニュアルをご覧ください。","스크립트 '{0}'이（가） 이 객체에 첨부되어 있지 않습니다.
이 객체가 프리팹일 경우, 객체를 씬에 추가한 후 '{1}' 기능이 올바르게 작동하려면 컨텍스트 메뉴에서 '{2}' 기능을 실행해야 합니다.

컨텍스트 메뉴에 대한 자세한 정보는 개발자 매뉴얼에서 확인할 수 있습니다.","脚本“{0}”未挂载到此对象。
如果该对象是预制件，为了确保“{1}”功能在将对象添加到场景后正常工作，  
需要在右键菜单中执行函数“{2}”。

有关上下文菜单的更多信息，请参阅开发者手册。","El script '{0}' no está adjunto a este objeto.
Si este objeto es un prefab, para asegurar que la función '{1}'
funcione correctamente después de añadir el objeto a la escena, 
debes ejecutar la función '{2}' desde el menú contextual.

Puedes encontrar más información sobre el Menú Contextual en el Manual del Desarrollador.","Das Skript '{0}' ist nicht an dieses Objekt angehängt.
Wenn dieses Objekt ein Prefab ist, müssen Sie, um sicherzustellen, dass die Funktion '{1}' 
nach dem Hinzufügen des Objekts zur Szene korrekt funktioniert, die Funktion '{2}' 
im Kontextmenü ausführen.

Weitere Informationen zum Kontextmenü finden Sie im Entwicklerhandbuch.","Le script '{0}' n’est pas attaché à cet objet.  
Si cet objet est un prefab, pour garantir que la fonction '{1}'  
fonctionne correctement après avoir ajouté l’objet à la scène,  
vous devez exécuter la fonction '{2}' depuis le menu contextuel.  

Vous trouverez plus d’informations sur le menu contextuel dans le manuel du développeur."
tooltip_fcu_is_null,This object has no '{0}' assigned. Run '{1}' and then '{2}' from the context menu to reattach it.,このオブジェクトには「{0}」が割り当てられていません。コンテキストメニューから「{1}」を実行し、その後「{2}」を実行して再割り当てしてください。,이 오브젝트에는 '{0}' 이(가) 연결되어 있지 않습니다. 컨텍스트 메뉴에서 '{1}'을 실행한 뒤 '{2}'을 실행하여 다시 연결하세요.,此对象未分配“{0}”。请在上下文菜单中先运行“{1}”，再运行“{2}”以重新附加。,Este objeto no tiene '{0}' asignado. Ejecuta '{1}' y luego '{2}' desde el menú contextual para volver a asignarlo.,"Diesem Objekt ist kein „{0}“ zugewiesen. Führe im Kontextmenü zuerst „{1}“, dann „{2}“ aus, um es erneut zu verknüpfen.",Cet objet n'a pas de « {0} ». Exécutez « {1} » puis « {2} » depuis le menu contextuel pour le rattacher.
label_more_about_layout_updating,"You can learn more about this script in the dev manual, 'Layout updating' slide.",このスクリプトについてさらに知るには、開発者マニュアルの「レイアウト更新」スライドをご覧ください。,이 스크립트에 대한 더 많은 내용은 개발자 매뉴얼의 '레이아웃 업데이트' 슬라이드에서 확인할 수 있습니다.,你可以在开发者手册的 '布局更新' 部分了解更多关于此脚本的信息。,"Puedes aprender más sobre este script en el manual de desarrollador, diapositiva 'Actualización de diseño'.",Mehr über dieses Skript finden Sie im Entwicklerhandbuch im Abschnitt 'Layout aktualisieren'.,"Vous pouvez en savoir plus sur ce script dans le manuel de développement, diapositive 'Mise à jour de la mise en page'."
tooltip_more_about_layout_updating,Opens the developer manual section that explains layout updating.,レイアウト更新について説明した開発者マニュアルのセクションを開きます。,레이아웃 업데이트를 설명하는 개발자 매뉴얼 섹션을 엽니다.,打开开发者手册中介绍布局更新的章节。,Abre la sección del manual para desarrolladores que explica la actualización de layouts.,"Öffnet den Abschnitt im Entwicklerhandbuch, der das Layout-Update erklärt.",Ouvre la section du manuel développeur qui explique la mise à jour du layout.
tooltip_open_fcu_window,Open the FCU settings window.,FCU 設定ウィンドウを開きます。,FCU 설정 창을 엽니다.,打开 FCU 设置窗口。,Abre la ventana de configuración de FCU.,Öffnet das FCU-Einstellungsfenster.,Ouvre la fenêtre de paramètres FCU.
tooltip_change_window_mode,_,_,_,_,_,_,_
label_orthographic_mode,Orthographic Mode,直交モード,직교 모드,正交模式,Modo ortográfico,Orthographischer Modus,Mode orthographique
tooltip_orthographic_mode,,,,,,,
label_extra_padding,Extra Padding,余白の追加,추가 여백,额外填充,Relleno extra,Zusätzlicher Abstand,Marge supplémentaire
tooltip_extra_padding,Adds some padding between the characters and the edge of the text mesh. Can reduce graphical errors when displaying small text.,文字とテキストメッシュの端との間に余白を追加します。小さなテキストを表示する際のグラフィックエラーを軽減できます。,문자와 텍스트 메시 가장자리를 구분하기 위해 여백을 추가합니다. 작은 텍스트를 표시할 때 그래픽 오류를 줄일 수 있습니다.,在字符与文本网格边缘之间添加一些填充。在显示小字号文本时可减少图形错误。,Agrega algo de relleno entre los caracteres y el borde de la malla de texto. Puede reducir errores gráficos al mostrar texto pequeño.,Fügt etwas Abstand zwischen den Zeichen und dem Rand des Textgitters hinzu. Kann grafische Fehler beim Anzeigen von kleinem Text reduzieren.,Ajoute une marge entre les caractères et le bord du maillage de texte. Peut réduire les erreurs graphiques lors de l’affichage de petits textes.
label_overflow,Overflow,オーバーフロー,오버플로우,溢出,Desbordamiento,Überlauf,Débordement
tooltip_overflow,How to display text which goes past the edge of the container.,コンテナの端を超えたテキストの表示方法。,컨테이너 가장자리를 넘어가는 텍스트를 어떻게 표시할지 설정합니다.,如何显示超出容器边缘的文本。,Cómo mostrar texto que sobrepasa el borde del contenedor.,"Wie Text angezeigt wird, der über den Rand des Containers hinausgeht.",Comment afficher le texte qui dépasse du bord du conteneur.
label_geometry_sorting,Geometry Sorting,ジオメトリソート,기하학 정렬,几何排序,Ordenación de geometría,Geometrie-Sortierung,Tri de la géométrie
tooltip_geometry_sorting,The order in which text geometry is sorted. Used to adjust the way overlapping characters are displayed.,テキストジオメトリをソートする順序。重なり合った文字の表示方法を調整するために使用します。,텍스트 기하학이 정렬되는 순서입니다. 겹치는 문자가 표시되는 방식을 조정하는 데 사용됩니다.,文本几何体的排序顺序。用于调整重叠字符的显示方式。,El orden en que se organiza la geometría del texto. Se usa para ajustar la forma en que se muestran los caracteres superpuestos.,"Die Reihenfolge, in der Textgeometrie sortiert wird. Wird verwendet, um die Darstellung überlappender Zeichen anzupassen.",L’ordre dans lequel la géométrie du texte est triée. Utilisé pour ajuster la façon dont les caractères se chevauchant sont affichés.
label_shader,Shader,シェーダー,셰이더,着色器,Shader,Shader,Shader
tooltip_shader,,,,,,,
label_farsi,Farsi,ファルシ語,페르시아어,波斯语,Persa (farsi),Persisch (Farsi),Persan (farsi)
tooltip_farsi,,,,,,,
label_fix_tags,Fix Tags,タグを修正,태그 수정,修复标签,Corregir etiquetas,Tags korrigieren,Corriger les balises
tooltip_fix_tags,,,,,,,
label_user_name,The name of the user authorized in the current instance of the asset.,このアセットの現在のインスタンスで認証されているユーザーの名前。,현재 자산 인스턴스에서 인증된 사용자의 이름.,当前资产实例中授权用户的姓名。,El nombre del usuario autorizado en la instancia actual del recurso.,"Der Name des Benutzers, der in der aktuellen Instanz der Ressource autorisiert ist.",Le nom de l’utilisateur autorisé dans l’instance actuelle de l’actif.
tooltip_user_id,The ID of the user authorized in the current instance of the asset.,このアセットの現在のインスタンスで認証されているユーザーのID。,현재 자산 인스턴스에서 인증된 사용자의 ID.,当前资产实例中授权用户的ID。,El ID del usuario autorizado en la instancia actual del recurso.,"Die ID des Benutzers, der in der aktuellen Instanz der Ressource autorisiert ist.",L’ID de l’utilisateur autorisé dans l’instance actuelle de l’actif.
label_stable_version,This version of the asset is stable.,このアセットのバージョンは安定版です。,이 자산 버전은 안정적입니다.,此资产版本稳定。,Esta versión del recurso es estable.,Diese Version der Ressource ist stabil.,Cette version de l’actif est stable.
tooltip_stable_version,,,,,,,
label_go_layer,GameObject Layer,GameObjectレイヤー,GameObject 레이어,GameObject 图层,Capa de GameObject,GameObject-Ebene,Calque du GameObject
tooltip_go_layer,"Sets the value of the ""Layout"" parameter, which you can see in the top-right corner of the Inspector, for all the GameObjects being instantiated.",生成されるすべてのGameObjectに対して、インスペクターの右上に表示される「Layout」パラメーターの値を設定します。,"생성되는 모든 GameObject에 대해 검사기 오른쪽 상단에서 볼 수 있는 ""Layout"" 매개변수의 값을 설정합니다.",为所有被实例化的 GameObject 设置“Layout”参数的值，该参数可以在 Inspector 界面右上角看到。,"Establece el valor del parámetro ""Layout"", que puedes ver en la esquina superior derecha del Inspector, para todos los GameObjects que se están instanciando.","Setzt den Wert des ""Layout""-Parameters, den Sie in der oberen rechten Ecke des Inspektors sehen können, für alle GameObjects, die instanziiert werden.","Définit la valeur du paramètre ""Layout"", que vous pouvez voir dans le coin supérieur droit de l’Inspecteur, pour tous les GameObjects instanciés."
label_pivot_type,Pivot Type,ピボットタイプ,피벗 유형,枢轴类型,Tipo de pivote,Pivot-Typ,Type de pivot
tooltip_pivot_type,,,,,,,
tooltip_recent_projects,View recent projects.,最近のプロジェクトを表示。,최근 프로젝트 보기.,查看最近的项目。,Ver proyectos recientes.,Letzte Projekte anzeigen.,Voir les projets récents.
tooltip_download_project,"Download Figma project from URL.
The current active import of the current canvas will be stopped.","URLからFigmaプロジェクトをダウンロードします。
現在アクティブなキャンバスのインポートは停止されます。","URL에서 Figma 프로젝트 다운로드.
현재 캔버스의 활성 가져오기가 중지됩니다.","从URL下载 Figma 项目。  
当前画布的正在进行的导入将被停止。","Descargar proyecto de Figma desde URL.  
La importación activa actual del lienzo actual se detendrá.","Figma-Projekt von URL herunterladen.
Der aktuell aktive Import der aktuellen Leinwand wird gestoppt.","Télécharger le projet Figma depuis l’URL.
L’importation active en cours du canevas actuel sera arrêtée."
label_sampling_point_size,Sampling Point Size,サンプリングポイントサイズ,샘플링 포인트 크기,采样点大小,Tamaño de punto de muestreo,Abtastpunktegröße,Taille du point d’échantillonnage
tooltip_sampling_point_size,The sampling point size.,サンプリングポイントサイズです。,샘플링 포인트 크기입니다.,采样点的大小。,El tamaño de punto de muestreo.,Die Abtastpunktegröße.,La taille du point d’échantillonnage.
label_enable_multi_atlas_support,Enable Multi Atlas Support,マルチアトラスサポートを有効化,멀티 아틀라스 지원 활성화,启用多图集支持,Habilitar compatibilidad Multi Atlas,Multi-Atlas-Unterstützung aktivieren,Activer la prise en charge Multi Atlas
tooltip_enable_multi_atlas_support,,,,,,,
label_images_format,Images Format,画像フォーマット,이미지 형식,图像格式,Formato de imágenes,Bildformat,Format des images
tooltip_images_format,Format of images imported from Figma.,Figmaからインポートした画像のフォーマット。,Figma에서 불러온 이미지의 형식.,从 Figma 导入的图像格式。,Formato de las imágenes importadas desde Figma.,Format der aus Figma importierten Bilder.,Format des images importées de Figma.
label_images_scale,Images Scale,画像スケール,이미지 크기,图像缩放,Escala de imágenes,Bildskalierung,Échelle des images
tooltip_images_scale,The size of the images imported from Figma.,Figmaからインポートした画像のサイズ。,Figma에서 불러온 이미지의 크기.,从 Figma 导入的图像大小。,El tamaño de las imágenes importadas desde Figma.,Die Größe der aus Figma importierten Bilder.,La taille des images importées de Figma.
label_preserve_ratio_mode,Preserve Ratio Mode,縦横比保持モード,비율 유지 모드,保持比例模式,Modo de preservar proporción,Seitenverhältnismodus beibehalten,Mode de préservation des proportions
tooltip_preserve_ratio_mode,"If an object in Figma has the 'PreserveRatio' function enabled, the 'AspectRatioFitter' script will be added to it with your selected mode.",Figma内のオブジェクトで「PreserveRatio」機能が有効になっている場合、選択したモードで「AspectRatioFitter」スクリプトが追加されます。,"Figma의 객체에 'PreserveRatio' 기능이 활성화된 경우, 선택한 모드와 함께 'AspectRatioFitter' 스크립트가 추가됩니다.",如果在 Figma 中启用了“PreserveRatio”功能，则会为该对象添加“AspectRatioFitter”脚本，并使用你选择的模式。,"Si un objeto en Figma tiene habilitada la función 'PreserveRatio', se le añadirá el script 'AspectRatioFitter' con el modo que selecciones.","Wenn ein Objekt in Figma die 'PreserveRatio'-Funktion aktiviert hat, wird ihm das 'AspectRatioFitter'-Skript mit dem von Ihnen ausgewählten Modus hinzugefügt.","Si un objet dans Figma a la fonction 'PreserveRatio' activée, le script 'AspectRatioFitter' lui sera ajouté avec le mode que vous avez sélectionné."
label_sprites_path,Sprites Path,スプライトパス,스프라이트 경로,精灵路径,Ruta de sprites,Sprites-Pfad,Chemin des sprites
tooltip_sprites_path,Relative folder for downloaded sprite textures.,ダウンロードしたスプライトテクスチャを保存する相対フォルダーです。,다운로드한 스프라이트 텍스처를 저장할 상대 경로입니다.,用于存储下载的精灵贴图的相对文件夹。,Carpeta relativa donde se guardan las texturas de sprite descargadas.,Relativer Ordner für heruntergeladene Sprite-Texturen.,Dossier relatif où sont stockées les textures de sprites téléchargées.
label_shapes2d_settings,SHAPES 2D SETTINGS,2D図形設定,2D 도형 설정,二维形状设置,AJUSTES DE FORMAS 2D,2D-FORMEN-EINSTELLUNGEN,PARAMÈTRES DES FORMES 2D
tooltip_shapes2d_settings,,,,,,,
label_google_fonts_settings,GOOGLE FONTS SETTINGS,Googleフォント設定,Google Fonts 설정,Google 字体设置,AJUSTES DE GOOGLE FONTS,GOOGLE-FONTS-EINSTELLUNGEN,PARAMÈTRES GOOGLE FONTS
tooltip_google_fonts_settings,,,,,,,
label_google_fonts_api_key,Google Fonts Api Key,Google フォント API キー,Google Fonts API 키,Google Fonts API 密钥,Clave de la API de Google Fonts,Google Fonts Api-Schlüssel,Clé API Google Fonts
tooltip_google_fonts_api_key,"In order for the asset to be able to automatically download missing fonts, you need to create your own '{0}', and enter it in '{0}' field.",アセットが不足しているフォントを自動的にダウンロードできるようにするには、自分の '{0}' を作成し、それを '{0}' フィールドに入力する必要があります。,"에셋이 누락된 폰트를 자동으로 다운로드할 수 있도록 하려면, 자신만의 '{0}'을（를） 생성하고 '{0}' 필드에 입력해야 합니다.",为了使资源能够自动下载缺失的字体，您需要创建自己的“{0}”，并将其输入到“{0}”字段中。,"Para que el recurso pueda descargar automáticamente las fuentes que faltan, necesitas crear tu propio '{0}' e ingresarlo en el campo '{0}'.","Damit das Asset fehlende Schriftarten automatisch herunterladen kann, müssen Sie Ihren eigenen '{0}' erstellen und ihn in das Feld '{0}' eingeben.","Afin que l’actif puisse télécharger automatiquement les polices manquantes, vous devez créer votre propre '{0}', et l’entrer dans le champ '{0}'."
label_get_google_api_key,Get,取得,키 발급,获取,Obtener,Holen,Obtenir
tooltip_get_google_api_key,Open the instructions to obtain a Google Fonts API key.,Google Fonts API キーの取得手順を開きます。,Google Fonts API 키를 받는 방법을 엽니다.,打开获取 Google Fonts API 密钥的说明。,Abre las instrucciones para obtener una clave de la API de Google Fonts.,Öffnet die Anleitung zum Anfordern eines Google-Fonts-API-Schlüssels.,Ouvre les instructions pour obtenir une clé d'API Google Fonts.
label_tmp_path,TMP Fonts Path,TMP フォントパス,TMP 폰트 경로,临时字体路径,Ruta de fuentes TMP,TMP-Schriften-Pfad,Chemin TMP Fonts
tooltip_tmp_path,,,,,,,
label_no_recent_sessions,No recent sessions found.,最近のセッションが見つかりません。,최근 세션을 찾을 수 없습니다.,未找到最近的会话。,No se encontraron sesiones recientes.,Keine aktuellen Sitzungen gefunden.,Aucune session récente trouvée.
tooltip_no_recent_sessions,No OAuth sessions stored; sign in to create one.,保存された OAuth セッションがありません。サインインして作成してください。,저장된 OAuth 세션이 없습니다. 로그인하여 생성하세요.,没有保存的 OAuth 会话，请登录以创建。,No hay sesiones OAuth guardadas; inicia sesión para crear una.,"Es sind keine OAuth-Sitzungen gespeichert. Melde dich an, um eine zu erstellen.",Aucune session OAuth enregistrée ; connectez-vous pour en créer une.
tooltip_new_components,Components that are missing on the scene but exist in Figma.,シーンには存在しないが、Figma に存在するコンポーネント。,씬에는 없지만 Figma에 존재하는 컴포넌트입니다.,场景中缺失但 Figma 中存在的组件。,Componentes que faltan en la escena pero existen en Figma.,"Komponenten, die in der Szene fehlen, aber in Figma existieren.",Composants manquants sur la scène mais existants dans Figma.
tooltip_import_frames,"Import selected frames from a downloaded or cached Figma project.
The current active import of the current canvas will be stopped.","ダウンロードまたはキャッシュされた Figma プロジェクトから選択されたフレームをインポートします。
現在のキャンバスのアクティブなインポートは停止されます。","다운로드되었거나 캐시된 Figma 프로젝트에서 선택한 프레임을 가져옵니다.
현재 캔버스의 활성 가져오기 작업은 중지됩니다.",从已下载或缓存的 Figma 项目中导入所选画框。当前画布的激活导入将会停止。,"Importar fotogramas seleccionados de un proyecto de Figma descargado o en caché.
La importación activa actual del lienzo actual se detendrá.","Ausgewählte Frames aus einem heruntergeladenen oder zwischengespeicherten Figma-Projekt importieren.
Der aktuelle aktive Import der aktuellen Leinwand wird gestoppt.","Importer les images sélectionnées depuis un projet Figma téléchargé ou mis en cache.
L’importation active du canevas en cours sera arrêtée."
tooltip_open_settings_window,Open settings window,設定ウィンドウを開く,설정 창 열기,打开设置窗口,Abrir ventana de configuración,Einstellungsfenster öffnen,Ouvrir la fenêtre des paramètres
label_select_fonts_folder,Choose a folder with your fonts,フォントが入ったフォルダを選択,폰트가 있는 폴더를 선택하세요,选择一个包含字体的文件夹,Elige una carpeta con tus fuentes,Wählen Sie einen Ordner mit Ihren Schriftarten,Choisissez un dossier contenant vos polices
tooltip_select_fonts_folder,Choose the folder that contains your local fonts.,ローカルフォントが入っているフォルダーを選択します。,로컬 폰트가 들어 있는 폴더를 선택합니다.,选择包含本地字体的文件夹。,Elige la carpeta que contiene tus fuentes locales.,"Wähle den Ordner, der deine lokalen Schriftarten enthält.",Choisissez le dossier qui contient vos polices locales.
label_select_prefabs_folder,Select Prefabs Folder,プレハブ用フォルダーを選択,프리팹 폴더 선택,选择预制体文件夹,Seleccionar carpeta de prefabs,Prefab-Ordner auswählen,Sélectionner le dossier des prefabs
tooltip_select_prefabs_folder,Choose where generated prefabs are stored.,生成されたプレハブを保存するフォルダーを選択します。,생성된 프리팹을 저장할 폴더를 선택합니다.,选择生成的预制体要保存到的文件夹。,Elige dónde se guardarán los prefabs generados.,"Wähle den Ordner, in dem die generierten Prefabs gespeichert werden.",Choisissez l'emplacement où seront stockés les prefabs générés.
log_added_total,"Added: {0}
Total: {1}","追加済み: {0}
合計: {1}","추가됨: {0}
총계: {1}","已添加: {0}
总计: {1}","Añadido: {0}
Total: {1}","Hinzugefügt: {0}
Gesamt: {1}","Ajouté : {0}
Total : {1}"
log_asset_not_imported,Asset '{0}' was not imported. You can find it in the Asset Store or Package Manager.,アセット '{0}' はインポートされませんでした。Asset Store または Package Manager で見つけることができます。,에셋 '{0}'이（가） 가져오지 않았습니다. Asset Store나 Package Manager에서 찾을 수 있습니다.,资源“{0}”未被导入。您可以在 Asset Store 或 Package Manager 中找到它。,El recurso '{0}' no se importó. Puedes encontrarlo en la Asset Store o en el Package Manager.,Asset '{0}' wurde nicht importiert. Sie finden es im Asset Store oder im Package Manager.,L’actif '{0}' n’a pas été importé. Vous pouvez le trouver dans l’Asset Store ou le Package Manager.
label_images_and_sprites_tab,IMAGES & SPRITES,画像 & スプライト,이미지 & 스프라이트,图像与精灵,IMÁGENES Y SPRITES,BILDER & SPRITES,IMAGES ET SPRITES
tooltip_images_and_sprites_tab,"Configure how textures are downloaded, processed, and stored.",テクスチャのダウンロード、処理、保存方法を設定します。,텍스처를 다운로드하고 처리하며 저장하는 방식을 구성합니다.,配置纹理的下载、处理和存储方式。,"Configura cómo se descargan, procesan y guardan las texturas.","Konfiguriert, wie Texturen heruntergeladen, verarbeitet und gespeichert werden.","Configure la façon dont les textures sont téléchargées, traitées et stockées."
label_normal_color,Normal Color,通常カラー,일반 색상,正常颜色,Color normal,Normale Farbe,Couleur normale
tooltip_normal_color,Button color used in its idle state.,ボタンが通常状態のときに使う色です。,버튼의 기본 상태에 사용되는 색상입니다.,按钮在默认状态下使用的颜色。,Color que se usa cuando el botón está en reposo.,"Farbe, die im Ruhezustand des Buttons verwendet wird.",Couleur utilisée lorsque le bouton est au repos.
label_highlighted_color,Highlighted Color,ハイライトカラー,강조된 색상,高亮颜色,Color resaltado,Hervorgehobene Farbe,Couleur en surbrillance
tooltip_highlighted_color,Color used when a button is highlighted or hovered.,ボタンがハイライトまたはホバーされたときの色です。,버튼이 강조 표시되거나 호버될 때 사용되는 색상입니다.,按钮高亮或悬停时使用的颜色。,Color que se usa cuando el botón está resaltado o al pasar el cursor.,"Farbe, die verwendet wird, wenn ein Button hervorgehoben oder gehovert wird.",Couleur utilisée lorsque le bouton est en surbrillance ou survolé.
label_pressed_color,Pressed Color,押下時のカラー,눌림 색상,按下颜色,Color presionado,Gedrückte Farbe,Couleur enfoncée
tooltip_pressed_color,Color used when the button is pressed.,ボタンが押されたときの色です。,버튼이 눌렸을 때 사용되는 색상입니다.,按钮被按下时使用的颜色。,Color que se usa cuando el botón está presionado.,"Farbe, die verwendet wird, wenn der Button gedrückt ist.",Couleur utilisée lorsque le bouton est enfoncé.
label_selected_color,Selected Color,選択時のカラー,선택된 색상,选中颜色,Color seleccionado,Ausgewählte Farbe,Couleur sélectionnée
tooltip_selected_color,Color used when the button is selected.,ボタンが選択状態のときの色です。,버튼이 선택되었을 때 사용되는 색상입니다.,按钮处于选中状态时使用的颜色。,Color que se usa cuando el botón está seleccionado.,"Farbe, die verwendet wird, wenn der Button ausgewählt ist.",Couleur utilisée lorsque le bouton est sélectionné.
label_disabled_color,Disabled Color,無効時のカラー,비활성 색상,禁用颜色,Color deshabilitado,Deaktivierte Farbe,Couleur désactivée
tooltip_disabled_color,Color used when the button is disabled.,ボタンが無効のときに使われる色です。,버튼이 비활성화될 때 사용되는 색상입니다.,按钮被禁用时使用的颜色。,Color que se usa cuando el botón está deshabilitado.,"Farbe, die verwendet wird, wenn der Button deaktiviert ist.",Couleur utilisée lorsque le bouton est désactivé.
label_color_multiplier,Color Multiplier,カラー乗数,색상 배율,颜色乘数,Multiplicador de color,Farb-Multiplikator,Multiplicateur de couleur
tooltip_color_multiplier,,,,,,,
label_fade_duration,Fade Duration,フェード時間,페이드 지속 시간,渐隐持续时间,Duración de desvanecimiento,Überblendungsdauer,Durée de fondu
tooltip_fade_duration,,,,,,,
label_go_name_max_length,GameObject Name Max Length,GameObject 名の最大長,GameObject 이름 최대 길이,GameObject 名称最大长度,Longitud máxima del nombre de GameObject,Maximale Länge für GameObject-Namen,Longueur max du nom de GameObject
tooltip_go_name_max_length,Maximum character count allowed for generated GameObject names.,生成される GameObject 名の最大文字数を設定します。,생성된 GameObject 이름의 최대 길이를 설정합니다.,设置生成的 GameObject 名称允许的最大字符数。,Longitud máxima permitida para los nombres de GameObject generados.,Maximale Länge für generierte GameObject-Namen.,Longueur maximale autorisée pour les noms de GameObject générés.
label_text_name_max_length,Text Name Max Length,テキスト名の最大長,텍스트 이름 최대 길이,文本名称最大长度,Longitud máxima del nombre del texto,Maximale Länge für Textnamen,Longueur max du nom de texte
tooltip_text_name_max_length,Maximum length allowed for generated text object names.,生成されるテキストオブジェクト名の最大文字数です。,생성된 텍스트 오브젝트 이름에 허용되는 최대 길이입니다.,设置生成的文本对象名称允许的最大长度。,Longitud máxima permitida para los nombres de objetos de texto generados.,Maximale Länge für generierte Textobjektnamen.,Longueur maximale autorisée pour les noms d'objets texte générés.
log_import_failed_incompatible,Import failed because '{0}' is incompatible with '{1}'.\nPlease change the import settings.\n,インポートに失敗しました。'{0}' は '{1}' と互換性がありません。\nインポート設定を変更してください。\n,'{0}'가（이） '{1}'과（와） 호환되지 않아 가져오기에 실패했습니다.\n가져오기 설정을 변경하세요.\n,导入失败，因为“{0}”与“{1}”不兼容。\n请更改导入设置。\n,"La importación falló porque '{0}' es incompatible con '{1}'.\nPor favor, cambia la configuración de importación.\n","Import fehlgeschlagen, da '{0}' inkompatibel mit '{1}' ist.\nBitte ändern Sie die Import-Einstellungen.\n",Échec de l'importation car '{0}' est incompatible avec '{1}'.\nVeuillez modifier les paramètres d'importation.\n
log_import_failed_enable_required,Import failed because you need to enable '{0}' to use '{1}'.\nPlease change the import settings.\n,インポートに失敗しました。'{0}' を有効にしないと '{1}' を使用できません。\nインポート設定を変更してください。\n,가져오기에 실패했습니다. '{0}'을(를) 활성화해야 '{1}'을(를) 사용할 수 있습니다.\n가져오기 설정을 변경하세요.\n,导入失败，因为您需要启用“{0}”才能使用“{1}”。\n请更改导入设置。\n,"La importación falló porque necesitas habilitar '{0}' para usar '{1}'.\nPor favor, cambia la configuración de importación.\n","Import fehlgeschlagen, da Sie '{0}' aktivieren müssen, um '{1}' zu verwenden.\nBitte ändern Sie die Import-Einstellungen.\n",Échec de l'importation car vous devez activer '{0}' pour utiliser '{1}'.\nVeuillez modifier les paramètres d'importation.\n
log_import_failed_unsupported,"Import failed because you are attempting to use '{0}', which does not support '{1}'.\nPlease change the import settings.\n",インポートに失敗しました。'{0}' を使用しようとしましたが、これは '{1}' をサポートしていません。\nインポート設定を変更してください。\n,가져오기에 실패했습니다. '{0}'은(는) '{1}'을(를) 지원하지 않습니다.\n가져오기 설정을 변경하세요.\n,导入失败，因为您尝试使用的“{0}”不支持“{1}”。\n请更改导入设置。\n,"La importación falló porque estás intentando usar '{0}', lo cual no es compatible con '{1}'.\nPor favor, cambia la configuración de importación.\n","Import fehlgeschlagen, da Sie versuchen, '{0}' zu verwenden, was '{1}' nicht unterstützt.\nBitte ändern Sie die Import-Einstellungen.\n","Échec de l'importation car vous essayez d'utiliser '{0}', qui ne prend pas en charge '{1}'.\nVeuillez modifier les paramètres d'importation.\n"
label_loc_key_max_lenght,Loc Key Max Length,Loc キーの最大長,Loc 키 최대 길이,Loc键最大长度,Longitud Máxima de Clave de Localización,Maximale Schlüssellänge,Longueur maximale de la clé de localisation
